file,overhead,unrecovered,run
0043-txt.txt_raptor_dist_rs3_nc72.fasta,0,0,3
0043-txt.txt_raptor_dist_rs3_nc72.fasta,2,42,4
0044-txt.txt_raptor_dist_rs4_nc30.fasta,1,13,0
0044-txt.txt_raptor_dist_rs4_nc30.fasta,1,26,1
0044-txt.txt_raptor_dist_rs4_nc30.fasta,2,12,2
0044-txt.txt_raptor_dist_rs4_nc30.fasta,2,30,3
0044-txt.txt_raptor_dist_rs4_nc30.fasta,2,25,4
0030-zip-highcompress.zip_raptor_dist_rs3_nc7290.fasta,8,6317,3
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs2_nc6973.fasta,0,0,0
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc5640.fasta,2,4221,1
0030-zip-highcompress.zip_raptor_dist_rs3_nc7290.fasta,9,6257,4
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc5640.fasta,1,2822,2
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs2_nc6973.fasta,1,3540,1
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc5640.fasta,5,4240,3
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc5640.fasta,2,2843,4
0033-zip-highcompress.zip_raptor_dist_rs4_nc17262.fasta,17,12301,0
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs2_nc6973.fasta,3,3518,2
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs2_nc6973.fasta,0,0,3
0033-zip-highcompress.zip_raptor_dist_rs4_nc17262.fasta,17,14596,1
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs2_nc6973.fasta,3,5259,4
0033-zip-highcompress.zip_raptor_dist_rs4_nc17262.fasta,8,14432,2
0033-zip-highcompress.zip_raptor_dist_rs4_nc17262.fasta,6,15499,3
0033-zip-highcompress.zip_raptor_dist_rs4_nc17262.fasta,9,15727,4
0023-xlsx.xlsx_raptor_dist_rs2_nc578.fasta,1,320,0
0023-xlsx.xlsx_raptor_dist_rs2_nc578.fasta,3,413,1
0023-xlsx.xlsx_raptor_dist_rs2_nc578.fasta,0,0,2
0023-xlsx.xlsx_raptor_dist_rs2_nc578.fasta,15,287,3
0023-xlsx.xlsx_raptor_dist_rs2_nc578.fasta,6,425,4
0024-xlsx.xlsx_raptor_dist_rs4_nc713.fasta,1,378,0
0024-xlsx.xlsx_raptor_dist_rs4_nc713.fasta,1,365,1
0024-xlsx.xlsx_raptor_dist_rs4_nc713.fasta,4,569,2
0024-xlsx.xlsx_raptor_dist_rs4_nc713.fasta,3,551,3
0024-xlsx.xlsx_raptor_dist_rs4_nc713.fasta,2,396,4
0022-xlsx.xlsx_raptor_dist_rs2_nc5640.fasta,3,4599,0
0022-xlsx.xlsx_raptor_dist_rs4_nc6177.fasta,7,4277,0
0022-xlsx.xlsx_raptor_dist_rs2_nc5640.fasta,5,4696,1
0022-xlsx.xlsx_raptor_dist_rs4_nc6177.fasta,2,2889,1
0022-xlsx.xlsx_raptor_dist_rs2_nc5640.fasta,3,4821,2
