overhead,unrecovered,run,Method,RS,#Chunks,File
7193,-1,2,DNA Fountain,2,131130,0011-bmp.bmp
7276,-1,4,DNA Fountain,2,131130,0011-bmp.bmp
7071,-1,0,DNA Fountain,2,131130,0011-bmp.bmp
7223,-1,1,DNA Fountain,2,131130,0011-bmp.bmp
7451,-1,2,DNA Fountain,2,131130,0012-bmp.bmp
7271,-1,3,DNA Fountain,2,131130,0012-bmp.bmp
7602,-1,1,DNA Fountain,2,131130,0012-bmp.bmp
7455,-1,4,DNA Fountain,2,131130,0012-bmp.bmp
7488,-1,0,DNA Fountain,2,131130,0012-bmp.bmp
8018,-1,3,DNA Fountain,2,131130,0010-bmp.bmp
7948,-1,2,DNA Fountain,2,131130,0010-bmp.bmp
8104,-1,0,DNA Fountain,2,131130,0010-bmp.bmp
8241,-1,4,DNA Fountain,2,131130,0010-bmp.bmp
8443,-1,1,DNA Fountain,2,131130,0010-bmp.bmp
9430,-1,0,DNA Fountain,2,210222,0032-zip-highcompress.zip
9259,-1,1,DNA Fountain,2,210222,0032-zip-highcompress.zip
8838,-1,4,DNA Fountain,2,210222,0032-zip-highcompress.zip
9292,-1,2,DNA Fountain,2,210222,0032-zip-highcompress.zip
8977,-1,3,DNA Fountain,2,210222,0032-zip-highcompress.zip
0,0,0,Raptor (baseline),2,12,0041-txt.txt
1,2,1,Raptor (baseline),2,12,0041-txt.txt
4,5,2,Raptor (baseline),2,12,0041-txt.txt
1,9,3,Raptor (baseline),2,12,0041-txt.txt
3,4,4,Raptor (baseline),2,12,0041-txt.txt
9,12,0,High Entropy - evo,2,12,0041-txt.txt
6,12,1,High Entropy - evo,2,12,0041-txt.txt
8,12,2,High Entropy - evo,2,12,0041-txt.txt
10,12,3,High Entropy - evo,2,12,0041-txt.txt
9,7,4,High Entropy - evo,2,12,0041-txt.txt
3,8,0,Raptor (baseline),3,12,0041-txt.txt
2,10,1,Raptor (baseline),3,12,0041-txt.txt
4,8,2,Raptor (baseline),3,12,0041-txt.txt
3,8,3,Raptor (baseline),3,12,0041-txt.txt
4,6,4,Raptor (baseline),3,12,0041-txt.txt
9,12,0,High Entropy - evo,3,12,0041-txt.txt
8,11,1,High Entropy - evo,3,12,0041-txt.txt
9,11,2,High Entropy - evo,3,12,0041-txt.txt
5,10,3,High Entropy - evo,3,12,0041-txt.txt
7,10,4,High Entropy - evo,3,12,0041-txt.txt
11,13,0,High Entropy - evo,4,13,0041-txt.txt
12,12,1,High Entropy - evo,4,13,0041-txt.txt
9,13,2,High Entropy - evo,4,13,0041-txt.txt
11,13,3,High Entropy - evo,4,13,0041-txt.txt
13,12,4,High Entropy - evo,4,13,0041-txt.txt
2,5,0,Raptor (baseline),4,13,0041-txt.txt
3,7,1,Raptor (baseline),4,13,0041-txt.txt
1,7,2,Raptor (baseline),4,13,0041-txt.txt
2,9,3,Raptor (baseline),4,13,0041-txt.txt
1,8,4,Raptor (baseline),4,13,0041-txt.txt
4,16,0,Raptor (baseline),2,19,0040-txt.txt
1,13,1,Raptor (baseline),2,19,0040-txt.txt
3,6,2,Raptor (baseline),2,19,0040-txt.txt
1,10,3,Raptor (baseline),2,19,0040-txt.txt
1,12,4,Raptor (baseline),2,19,0040-txt.txt
7,15,0,High Entropy - evo,2,19,0040-txt.txt
3,16,1,High Entropy - evo,2,19,0040-txt.txt
4,11,2,High Entropy - evo,2,19,0040-txt.txt
8,15,3,High Entropy - evo,2,19,0040-txt.txt
4,17,4,High Entropy - evo,2,19,0040-txt.txt
4,17,0,Raptor (baseline),3,20,0040-txt.txt
2,8,1,Raptor (baseline),3,20,0040-txt.txt
1,14,2,Raptor (baseline),3,20,0040-txt.txt
13,8,3,Raptor (baseline),3,20,0040-txt.txt
1,14,4,Raptor (baseline),3,20,0040-txt.txt
4,17,0,High Entropy - evo,3,20,0040-txt.txt
3,18,1,High Entropy - evo,3,20,0040-txt.txt
3,13,2,High Entropy - evo,3,20,0040-txt.txt
2,16,3,High Entropy - evo,3,20,0040-txt.txt
2,14,4,High Entropy - evo,3,20,0040-txt.txt
2,18,0,High Entropy - evo,4,21,0040-txt.txt
1,13,1,High Entropy - evo,4,21,0040-txt.txt
2,10,2,High Entropy - evo,4,21,0040-txt.txt
2,10,3,High Entropy - evo,4,21,0040-txt.txt
1,11,4,High Entropy - evo,4,21,0040-txt.txt
3,9,0,Raptor (baseline),4,21,0040-txt.txt
0,0,1,Raptor (baseline),4,21,0040-txt.txt
4,17,2,Raptor (baseline),4,21,0040-txt.txt
2,18,3,Raptor (baseline),4,21,0040-txt.txt
